symbol,direction,entry_time,exit_time,entry_price,shares,entry_value,gross_pnl,cost,net_pnl,gross_bps,cost_bps,net_bps,r_multiple,win,exit_reasons,duration_mins,atr_at_entry,candle_size,pullback_depth_pct,pullback_type
ADANIENT,LONG,2024-08-22 09:35:00+05:30,2024-08-22 09:45:00+05:30,3028.243365,162,490575.42513,1996.9302599999628,712.5977876728216,1284.3324723271412,40.705876358783904,14.525753863108548,26.180122495675352,1.2863067860238295,1,Take_Profit,10.0,7.6460000000000035,4.650000000000091,0.0004764837416256405,zone
BAJAJ-AUTO,SHORT,2024-08-22 09:35:00+05:30,2024-08-22 09:40:00+05:30,9857.218925000001,50,492860.94625000004,-1035.878749999938,714.7066262098251,-1750.5853762097631,-21.01766751619424,14.501181959085383,-35.51884947527962,-2.2185882472643694,0,Stop_Loss,5.0,30.090000000000146,10.850000000000364,0.0002281199573277652,zone
BHARTIARTL,LONG,2024-08-22 09:35:00+05:30,2024-08-22 11:10:00+05:30,1479.1392,147,217433.46240000002,1996.0248000000483,342.99229716836805,1653.0325028316802,91.7993384260273,15.774586550867896,76.0247518751594,1.6563246136336984,1,Take_Profit,95.0,5.0400000000001,6.050000000000182,4.490440508945656e-05,zone
TATASTEEL,SHORT,2024-08-22 09:35:00+05:30,2024-08-22 11:05:00+05:30,152.62365,2099,320357.04135,-1160.5370999999873,481.351871183284,-1641.8889711832712,-36.22636465580491,15.02548123040605,-51.25184588621096,-1.6421210849986478,0,Stop_Loss,90.0,0.41000000000000225,0.4000000000000057,0.0008566608949143068,zone
TATAMOTORS,SHORT,2024-08-22 09:35:00+05:30,2024-08-22 15:15:00+05:30,651.963855,258,168206.67458999998,1112.0290199999795,274.18049038605284,837.8485296139266,66.11087358516096,16.30021466474869,49.81065892041227,0.8399775282572561,1,EOD_Squareoff,340.0,3.3360000000000127,3.5400000000000773,0.0014913022346974337,zone
BRITANNIA,LONG,2024-08-22 09:35:00+05:30,2024-08-22 09:45:00+05:30,5855.1260999999995,56,327887.06159999996,-1158.9073999999455,489.97208289196396,-1648.8794828919094,-35.34471272958413,14.943318607969253,-50.288031337553385,-1.6563968744670712,0,Stop_Loss,10.0,18.529999999999927,14.849999999999454,0.000647118629475744,zone
CIPLA,SHORT,2024-08-22 09:35:00+05:30,2024-08-22 11:35:00+05:30,1587.2060000000001,220,349185.32,1999.3599999999424,518.5708102224,1480.7891897775423,57.25784806760898,14.85087661252197,42.40697145508701,1.481263193999665,1,Take_Profit,120.0,4.75,3.75,7.704928141843505e-05,zone
SHRIRAMFIN,SHORT,2024-08-22 09:35:00+05:30,2024-08-22 09:40:00+05:30,626.2867000000001,453,283707.87510000006,-1140.4478849999155,431.7483032329993,-1572.1961882329147,-40.197963648275035,15.218058472321879,-55.41602212059691,-1.5751970962209971,0,Stop_Loss,5.0,3.4080000000000155,1.8899999999999864,0.0010611699311094405,zone
GRASIM,LONG,2024-08-22 09:35:00+05:30,2024-08-22 15:15:00+05:30,2751.27495,57,156822.67215,133.81034999999747,259.511419591597,-125.70106959159955,8.532589590872972,16.54808045506174,-8.015490864188768,-0.12765778903323266,0,EOD_Squareoff,340.0,19.639999999999965,15.900000000000091,0.0005284484066764029,zone
SBIN,LONG,2024-08-22 09:35:00+05:30,2024-08-22 09:55:00+05:30,821.4105,462,379491.65099999995,-1187.3977499999824,559.7789391449651,-1747.1766891449474,-31.2891666225348,14.75075769571977,-46.03992431825457,-1.7504132031576212,0,Stop_Loss,20.0,2.0100000000000136,1.75,0.0002940197241788114,zone
RELIANCE,SHORT,2024-08-22 09:35:00+05:30,2024-08-22 10:10:00+05:30,1498.55035,333,499017.26655,1964.466900000013,721.337176748596,1243.129723251417,39.36671196933783,14.45515466299642,24.91155730634141,1.2656153414968803,1,Take_Profit,35.0,2.9380000000000566,2.2000000000000455,0.00040348140650969236,zone
EICHERMOT,SHORT,2024-08-22 09:35:00+05:30,2024-08-22 09:40:00+05:30,4916.9403,99,486777.0897,-1234.8443249999182,706.5869247961105,-1941.4312497960286,-25.367757668319,14.515615869094804,-39.8833735374138,-1.9591412994002928,0,Stop_Loss,5.0,16.679999999999744,7.550000000000182,0.0004917156532263621,zone
ITC,LONG,2024-08-22 09:35:00+05:30,2024-08-22 09:40:00+05:30,508.15394999999995,664,337414.2228,-1166.8305999999575,502.8576241107,-1669.6882241106575,-34.58154758021533,14.903272895190474,-49.484820475405805,-1.6719908899643443,0,Stop_Loss,5.0,1.390000000000009,1.25,0.0007694133831668111,zone
HINDUNILVR,SHORT,2024-08-22 09:35:00+05:30,2024-08-22 09:40:00+05:30,2802.847875,178,498906.92175,1353.556500000057,721.5339921934599,632.0225078065971,27.1304413907955,14.462296687778112,12.668144703017385,0.9338694141050935,1,Take_Profit,5.0,6.7,2.400000000000091,0.00033351004174977564,zone
ICICIBANK,LONG,2024-08-22 09:35:00+05:30,2024-08-22 11:40:00+05:30,1180.439925,318,375379.89615,1996.9922999999671,556.7198544776679,1440.2724455222992,53.1992341753427,14.830838310403426,38.368395864939274,1.4424416614148416,1,Take_Profit,125.0,2.8600000000000363,2.5499999999999545,0.0010487657753524787,zone
INDUSINDBK,SHORT,2024-08-22 09:35:00+05:30,2024-08-22 15:15:00+05:30,1390.7043,238,330987.62340000004,1871.4475500000135,494.0188877270651,1377.4286622729485,56.541315073233434,14.925600016470737,41.6157150567627,1.3793920889723956,1,EOD_Squareoff,340.0,5.1700000000000275,3.5,0.0013379307655540982,zone
